# File: policy_tech_mappings.csv,,,
# Title: Policy technology mapping,,,
# Units: NA,,,
# Column types: cccc,,,
# ----------,,,
tech_mapping,supplysector,subsector,stub.technology
BIOFUEL_ADV,refining,biomass liquids,FT biofuels
BIOFUEL_ADV,refining,biomass liquids,FT biofuels CCS level 1
BIOFUEL_ADV,refining,biomass liquids,FT biofuels CCS level 2
BIOFUEL_ADV,refining,biomass liquids,BTL with hydrogen
EN_CARRIER_ELEC,electricity,hydro,hydro
EN_CARRIER_ELEC,electricity,wind,wind
EN_CARRIER_ELEC,electricity,wind,wind_offshore
EN_CARRIER_ELEC,electricity,wind,wind_storage
EN_CARRIER_ELEC,electricity,solar,PV
EN_CARRIER_ELEC,electricity,solar,PV_storage
EN_CARRIER_ELEC,elec_geothermal,geothermal,geothermal (recirculating)
EN_CARRIER_ELEC,elec_geothermal,geothermal,geothermal (dry_hybrid)
EN_CARRIER_ELEC,elec_CSP,CSP,CSP (recirculating)
EN_CARRIER_ELEC,elec_CSP,CSP,CSP (dry_hybrid)
EN_CARRIER_ELEC,elec_CSP_storage,CSP_storage,CSP_storage (recirculating)
EN_CARRIER_ELEC,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid)
EN_CARRIER_ELEC,elec_biomass (conv),biomass (conv),biomass (conv) (once through)
EN_CARRIER_ELEC,elec_biomass (conv),biomass (conv),biomass (conv) (seawater)
EN_CARRIER_ELEC,elec_biomass (conv),biomass (conv),biomass (conv) (recirculating)
EN_CARRIER_ELEC,elec_biomass (conv),biomass (conv),biomass (conv) (cooling pond)
EN_CARRIER_ELEC,elec_biomass (conv),biomass (conv),biomass (conv) (dry cooling)
EN_CARRIER_ELEC,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (once through)
EN_CARRIER_ELEC,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (seawater)
EN_CARRIER_ELEC,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (recirculating)
EN_CARRIER_ELEC,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (dry cooling)
EN_CARRIER_ELEC,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (once through)
EN_CARRIER_ELEC,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (seawater)
EN_CARRIER_ELEC,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (recirculating)
EN_CARRIER_ELEC,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (dry cooling)
EN_CARRIER_ELEC,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through)
EN_CARRIER_ELEC,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (seawater)
EN_CARRIER_ELEC,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (recirculating)
EN_CARRIER_ELEC,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling)
EN_CARRIER_FUEL,H2 central production,biomass,biomass to H2
EN_CARRIER_FUEL,H2 central production,biomass,biomass to H2 CCS
EN_CARRIER_FUEL,H2 central production,wind,electrolysis
EN_CARRIER_FUEL,H2 central production,solar,electrolysis
EN_CARRIER_FUEL,refining,biomass liquids,cellulosic ethanol
EN_CARRIER_FUEL,refining,biomass liquids,cellulosic ethanol CCS level 1
EN_CARRIER_FUEL,refining,biomass liquids,cellulosic ethanol CCS level 2
EN_CARRIER_FUEL,refining,biomass liquids,FT biofuels
EN_CARRIER_FUEL,refining,biomass liquids,FT biofuels CCS level 1
EN_CARRIER_FUEL,refining,biomass liquids,FT biofuels CCS level 2
EN_CARRIER_FUEL,refining,biomass liquids,corn ethanol
EN_CARRIER_FUEL,refining,biomass liquids,biodiesel
EN_CARRIER_FUEL,refining,biomass liquids,BTL with hydrogen
EN_CARRIER_FUEL,refining,biomass liquids,sugar cane ethanol
EN_CARRIER_FUEL,gas processing,biomass gasification,biomass gasification
RESID_ELEC,resid cooling,electricity,electricity
RESID_ELEC,resid heating,electricity,electricity
RESID_ELEC,resid others,electricity,electricity
ROOFTOP_PV,elect_td_bld,rooftop_pv,rooftop_pv
REG_NAT_GAS,regional natural gas,domestic natural gas,domestic natural gas
REG_NAT_GAS,regional natural gas,imported natural gas,imported natural gas
TPES_RENEWABLE,regional biomass,regional biomass,regional biomass
TPES_RENEWABLE,regional biomassOil,regional biomassOil,Soybean
TPES_RENEWABLE,regional biomassOil,regional biomassOil,OilCrop
TPES_RENEWABLE,regional biomassOil,regional biomassOil,OilPalm
TPES_RENEWABLE,regional sugar for ethanol,regional sugar for ethanol,regional sugar for ethanol
TPES_RENEWABLE,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol
TPES_RENEWABLE,elec_CSP,CSP,CSP (dry_hybrid)
TPES_RENEWABLE,elec_CSP,CSP,CSP (recirculating)
TPES_RENEWABLE,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid)
TPES_RENEWABLE,elec_CSP_storage,CSP_storage,CSP_storage (recirculating)
TPES_RENEWABLE,elec_Gen_III,Gen_III,Gen_III (cooling pond)
TPES_RENEWABLE,elec_Gen_III,Gen_III,Gen_III (once through)
TPES_RENEWABLE,elec_Gen_III,Gen_III,Gen_III (recirculating)
TPES_RENEWABLE,elec_Gen_III,Gen_III,Gen_III (seawater)
TPES_RENEWABLE,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (cooling pond)
TPES_RENEWABLE,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (once through)
TPES_RENEWABLE,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (recirculating)
TPES_RENEWABLE,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (seawater)
TPES_RENEWABLE,elec_geothermal,geothermal,geothermal (dry_hybrid)
TPES_RENEWABLE,elec_geothermal,geothermal,geothermal (recirculating)
TPES_RENEWABLE,elect_td_bld,rooftop_pv,rooftop_pv
TPES_RENEWABLE,electricity,hydro,hydro
TPES_RENEWABLE,electricity,solar,PV
TPES_RENEWABLE,electricity,solar,PV_storage
TPES_RENEWABLE,electricity,wind,wind
TPES_RENEWABLE,electricity,wind,wind_offshore
TPES_RENEWABLE,electricity,wind,wind_storage
TPES_RENEWABLE,resid heating,traditional biomass,traditional biomass
TPES_RENEWABLE,resid others,traditional biomass,traditional biomass
TPES_BIO,regional biomass,regional biomass,regional biomass
TPES_BIO,regional biomassOil,regional biomassOil,Soybean
TPES_BIO,regional biomassOil,regional biomassOil,OilCrop
TPES_BIO,regional biomassOil,regional biomassOil,OilPalm
TPES_BIO,regional sugar for ethanol,regional sugar for ethanol,regional sugar for ethanol
TPES_BIO,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol
TPES_CHINA,elec_CSP,CSP,CSP (dry_hybrid)
TPES_CHINA,elec_CSP,CSP,CSP (recirculating)
TPES_CHINA,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid)
TPES_CHINA,elec_CSP_storage,CSP_storage,CSP_storage (recirculating)
TPES_CHINA,elec_Gen_III,Gen_III,Gen_III (cooling pond)
TPES_CHINA,elec_Gen_III,Gen_III,Gen_III (once through)
TPES_CHINA,elec_Gen_III,Gen_III,Gen_III (recirculating)
TPES_CHINA,elec_Gen_III,Gen_III,Gen_III (seawater)
