# File: CO2byTech.csv,,,,,,,,
# Title: CO2 by tech used for GDP intensity policies,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors;resource emissions added here with repeat subsector column in tech column,,,,,,,,
# Units: MTC,,,,,,,,
# Column types: ccccnnnnc,,,,,,,,
# ----------,,,,,,,,
region,sector,subsector,technology,1990,2005,2010,2015,Units
China,trn_freight_road,Light truck,Liquids,3.91204,21.4214,30.5069,43.6793,MTC
China,trn_freight_road,Light truck,NG,0,6.25E-05,2.85E-04,6.89E-04,MTC
China,trn_freight_road,Medium truck,Hybrid Liquids,0,0,0,0,MTC
China,trn_freight_road,Medium truck,Liquids,1.50105,6.79773,9.51984,13.4672,MTC
China,trn_pass,Domestic Aviation,Liquids,0.726318,6.40608,10.6305,16.5284,MTC
China,trn_pass,Passenger Rail,Liquids,0.3036,1.64272,2.33721,3.34412,MTC
China,trn_pass_road,Bus,Hybrid Liquids,0,0,0,0,MTC
China,trn_pass_road,Bus,Liquids,3.7603,20.1092,28.5835,40.8701,MTC
China,trn_pass_road,Bus,NG,0,0.682671,3.13564,7.56787,MTC
China,trn_pass_road_LDV,2W and 3W,Liquids,2.0361,9.98464,14.0875,20.0366,MTC
China,trn_pass_road_LDV_4W,Car,Hybrid Liquids,0,0,0,0,MTC
China,trn_pass_road_LDV_4W,Car,Liquids,1.65211,8.35005,11.8126,16.8332,MTC
China,trn_pass_road_LDV_4W,Car,NG,0,0.0981182,0.450674,1.0877,MTC
China,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,0,0,0,0,MTC
China,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,0.530515,2.69172,3.80921,5.42949,MTC
China,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,0,0,0,0,MTC
China,trn_pass_road_LDV_4W,Mini Car,Liquids,0.439189,2.20407,3.11614,4.43858,MTC
China,trn_pass_road_LDV_4W,Mini Car,NG,0,0.092837,0.426421,1.02917,MTC
China,trn_shipping_intl,International Ship,Hybrid Liquids,0,0,0,0,MTC
China,trn_shipping_intl,International Ship,Liquids,3.71487,12.759,25.9771,22.9021,MTC
China,crude oil,unconventional oil,unconventional oil,0,0,0,0,MTC
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
