# File: A_OutputsByTech.csv,,,,,,,,,
# Title: Outputs by tech used for GDP intensity policies,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors,,,,,,,,,
# Units: EJ,,,,,,,,,
# Column types: cccccnnnnc,,,,,,,,,
# ----------,,,,,,,,,
region,sector,subsector,output,technology,1990,2005,2010,2015,Units
Australia_NZ,elec_gas (CC),gas (CC),elec_gas (CC),gas (CC) (recirculating),0.0196394,0.0282012,0.0196776,0.00987648,EJ
Australia_NZ,elec_gas (CC),gas (CC),elec_gas (CC),gas (CC) (seawater),0.0129147,0.0185449,0.0129399,0.00649474,EJ
Australia_NZ,elec_gas (steam/CT),gas (steam/CT),elec_gas (steam/CT),gas (steam/CT) (dry cooling),0,0,0,0,EJ
Australia_NZ,elec_gas (steam/CT),gas (steam/CT),elec_gas (steam/CT),gas (steam/CT) (once through),0.0111931,0.0178048,0.0476389,0.0598179,EJ
Australia_NZ,elec_gas (steam/CT),gas (steam/CT),elec_gas (steam/CT),gas (steam/CT) (recirculating),0,0,0,0,EJ
Australia_NZ,elec_gas (steam/CT),gas (steam/CT),elec_gas (steam/CT),gas (steam/CT) (seawater),0.0217278,0.0345623,0.0924755,0.116117,EJ
Australia_NZ,elec_geothermal,geothermal,elec_geothermal,geothermal (dry_hybrid),0.00298654,0.00445958,0.00838903,0.0111992,EJ
Australia_NZ,elec_geothermal,geothermal,elec_geothermal,geothermal (recirculating),0.00447971,0.00668932,0.0125836,0.0167988,EJ
Australia_NZ,elec_refined liquids (CC),refined liquids (CC),elec_refined liquids (CC),refined liquids (CC) (dry cooling),0,0,0,0,EJ
Australia_NZ,elec_refined liquids (CC),refined liquids (CC),elec_refined liquids (CC),refined liquids (CC) (once through),0,0,0,0,EJ
Australia_NZ,elec_refined liquids (CC),refined liquids (CC),elec_refined liquids (CC),refined liquids (CC) (recirculating),0,0,0,0,EJ
Australia_NZ,elec_refined liquids (CC),refined liquids (CC),elec_refined liquids (CC),refined liquids (CC) (seawater),0,0,0,0,EJ
Australia_NZ,elec_refined liquids (steam/CT),refined liquids (steam/CT),elec_refined liquids (steam/CT),refined liquids (steam/CT) (dry cooling),0,0,0,0,EJ
Australia_NZ,elec_refined liquids (steam/CT),refined liquids (steam/CT),elec_refined liquids (steam/CT),refined liquids (steam/CT) (once through),0.00435981,0.0034822,0.00711358,0.00815835,EJ
Australia_NZ,elec_refined liquids (steam/CT),refined liquids (steam/CT),elec_refined liquids (steam/CT),refined liquids (steam/CT) (recirculating),0,0,0,0,EJ
Australia_NZ,elec_refined liquids (steam/CT),refined liquids (steam/CT),elec_refined liquids (steam/CT),refined liquids (steam/CT) (seawater),0.00846312,0.00675952,0.0138087,0.0158369,EJ
Australia_NZ,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,0.295951,0.469118,0.519984,0.53584,EJ
Australia_NZ,elect_td_bld,rooftop_pv,elect_td_bld,rooftop_pv,0,0,0,0,EJ
Australia_NZ,elect_td_en,elect_td_en,elect_td_en,elect_td_en,0.00489726,0.00768046,0.00782894,0.00616643,EJ
Australia_NZ,elect_td_h2,elect_td_h2,elect_td_h2,elect_td_h2,0,0,0,0,EJ
Australia_NZ,elect_td_ind,elect_td_ind,elect_td_ind,elect_td_ind,0.280235,0.363659,0.399141,0.391027,EJ
Australia_NZ,elect_td_trn,elect_td_trn,elect_td_trn,elect_td_trn,0.00670293,0.0126811,0.0132104,0.0207608,EJ
Australia_NZ,electricity,biomass,electricity,biomass (IGCC),0,0,0,0,EJ
Australia_NZ,electricity,biomass,electricity,biomass (conv),0,0.00187915,6.55E-04,0.00135944,EJ
Australia_NZ,electricity,coal,electricity,coal (IGCC),0,0,0,0,EJ
Australia_NZ,electricity,coal,electricity,coal (conv pul),0.438993,0.67249,0.653734,0.574789,EJ
Australia_NZ,electricity,gas,electricity,gas (CC),0.0392072,0.0562995,0.0392836,0.019717,EJ
Australia_NZ,electricity,gas,electricity,gas (steam/CT),0.0329209,0.0523671,0.140114,0.175935,EJ
Australia_NZ,electricity,geothermal,electricity,geothermal,0.00746624,0.0111489,0.0209727,0.027998,EJ
Australia_NZ,electricity,hydro,electricity,hydro,0.134392,0.139082,0.137653,0.1363,EJ
Australia_NZ,electricity,nuclear,electricity,Gen_III,0,0,0,0,EJ
Australia_NZ,electricity,refined liquids,electricity,refined liquids (CC),0,0,0,0,EJ
Australia_NZ,electricity,refined liquids,electricity,refined liquids (steam/CT),0.0128229,0.0102417,0.0209223,0.0239952,EJ
Australia_NZ,electricity,solar,electricity,CSP,0,3.60E-06,1.08E-05,1.44E-05,EJ
Australia_NZ,electricity,solar,electricity,CSP_storage,0,0,0,0,EJ
Australia_NZ,electricity,solar,electricity,PV,0,2.81E-04,0.00140394,0.0181798,EJ
Australia_NZ,electricity,solar,electricity,PV_storage,0,0,0,0,EJ
Australia_NZ,electricity,wind,electricity,wind,0,0.00539625,0.0240793,0.0497024,EJ
Australia_NZ,electricity,wind,electricity,wind_offshore,0,0,0,0,EJ
Australia_NZ,electricity,wind,electricity,wind_storage,0,0,0,0,EJ
Australia_NZ,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0.63065,0.919108,1.01011,1.01101,EJ
Australia_NZ,gas pipeline,gas pipeline,gas pipeline,gas pipeline,0.737533,1.02682,1.28257,1.44317,EJ
Australia_NZ,gas processing,biomass gasification,gas processing,biomass gasification,0.00159069,0.00992072,0.0156972,0.0200439,EJ
Australia_NZ,gas processing,coal gasification,gas processing,coal gasification,0,0,0,0,EJ
Australia_NZ,gas processing,natural gas,gas processing,natural gas,0.736068,1.03079,1.27696,1.43095,EJ
Australia_NZ,mining energy use,mobile,mining energy use,electricity,0,0,0,0,EJ
Australia_NZ,mining energy use,mobile,mining energy use,hydrogen,0,0,0,0,EJ
Australia_NZ,mining energy use,mobile,mining energy use,refined liquids,0.0186697,0.0363711,0.0451957,0.0794695,EJ
Australia_NZ,mining energy use,stationary,mining energy use,coal,0.0060479,2.17E-04,1.83E-04,0.00188298,EJ
Australia_NZ,mining energy use,stationary,mining energy use,electricity,0.0213798,0.0304741,0.044341,0.0624032,EJ
Australia_NZ,mining energy use,stationary,mining energy use,gas,7.90E-04,0.00155416,0.00156295,0.00534549,EJ
Australia_NZ,mining energy use,stationary,mining energy use,refined liquids,0.0046674,0.00909274,0.011299,0.0198673,EJ
Australia_NZ,nuclearFuelGenIII,enrichedUranium,nuclearFuelGenIII,enrichedUranium,0,0,0,0,EJ
Australia_NZ,other industrial energy use,biomass,electricity,biomass cogen,0.00399456,0.0108301,0.00700579,0.00760179,EJ
Australia_NZ,other industrial energy use,biomass,other industrial energy use,biomass,0.0679213,0.0908287,0.0868554,0.0957623,EJ
Australia_NZ,other industrial energy use,biomass,other industrial energy use,biomass cogen,0.0107093,0.0299173,0.0194605,0.0211749,EJ
Australia_NZ,other industrial energy use,coal,electricity,coal cogen,7.09E-04,0.00232755,0.0024228,0.00238845,EJ
Australia_NZ,other industrial energy use,coal,other industrial energy use,coal,0.0553791,0.0445254,0.0541407,0.0158181,EJ
Australia_NZ,other industrial energy use,coal,other industrial energy use,coal cogen,0.00171626,0.00580437,0.006057,0.00598609,EJ
Australia_NZ,other industrial energy use,electricity,other industrial energy use,electricity,0.101974,0.119547,0.195788,0.141214,EJ
Australia_NZ,other industrial energy use,gas,electricity,gas cogen,6.22E-04,0.0135637,0.021051,0.0239758,EJ
Australia_NZ,other industrial energy use,gas,other industrial energy use,gas,0.160674,0.208767,0.246095,0.242309,EJ
Australia_NZ,other industrial energy use,gas,other industrial energy use,gas cogen,0.00145735,0.0326836,0.0509709,0.0583354,EJ
Australia_NZ,other industrial energy use,hydrogen,electricity,hydrogen cogen,0,0,0,0,EJ
Australia_NZ,other industrial energy use,hydrogen,other industrial energy use,hydrogen,0,0,0,0,EJ
Australia_NZ,other industrial energy use,hydrogen,other industrial energy use,hydrogen cogen,0,0,0,0,EJ
Australia_NZ,other industrial energy use,refined liquids,electricity,refined liquids cogen,0,0,0.00103634,4.61E-04,EJ
Australia_NZ,other industrial energy use,refined liquids,other industrial energy use,refined liquids,0.0533079,0.130298,0.106666,0.155424,EJ
Australia_NZ,other industrial energy use,refined liquids,other industrial energy use,refined liquids cogen,0,0,0.0025215,0.0011262,EJ
Australia_NZ,other industrial feedstocks,gas,other industrial feedstocks,gas,7.95E-04,0,0,0,EJ
Australia_NZ,other industrial feedstocks,refined liquids,other industrial feedstocks,refined liquids,0.0511529,0.0662225,0.072962,0.0665574,EJ
Australia_NZ,other industry,other industry,other industry,other industry,0.505088,0.728593,0.841516,0.803708,EJ
Australia_NZ,process heat cement,biomass,process heat cement,biomass,0.00137041,0.00149901,0.0014903,0.0014903,EJ
Australia_NZ,process heat cement,coal,process heat cement,coal,0.0198713,0.0217357,0.0216094,0.0216094,EJ
Australia_NZ,process heat cement,gas,process heat cement,gas,0.0130191,0.0142407,0.0141579,0.0141579,EJ
Australia_NZ,process heat cement,hydrogen,process heat cement,hydrogen,0,0,0,0,EJ
Australia_NZ,refined liquids bunkers,refined liquids bunkers,refined liquids bunkers,refined liquids bunkers,0.0883437,0.128469,0.151042,0.169988,EJ
Australia_NZ,refined liquids enduse,refined liquids enduse,refined liquids enduse,refined liquids enduse,0.0340371,0.0419808,0.0496337,0.0569125,EJ
Australia_NZ,refined liquids industrial,refined liquids industrial,refined liquids industrial,refined liquids industrial,0.367526,0.530329,0.493416,0.581411,EJ
Australia_NZ,refined liquids transport,refined liquids transport,refined liquids transport,refined liquids transport,1.02227,1.35292,1.48057,1.59168,EJ
Australia_NZ,refining,biomass liquids,refining,BTL with hydrogen,0,0,0,0,EJ
Australia_NZ,refining,biomass liquids,refining,FT biofuels,0,0,0,0,EJ
Australia_NZ,refining,biomass liquids,refining,biodiesel,0,0,0.00230211,0.00510637,EJ
Australia_NZ,refining,biomass liquids,refining,cellulosic ethanol,0,0,0,0,EJ
Australia_NZ,refining,biomass liquids,refining,corn ethanol,0,7.95E-04,0.00489719,0.00535754,EJ
Australia_NZ,refining,coal to liquids,refining,coal to liquids,0,0,0,0,EJ
