# File: A_CTax.csv,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon taxes by region,,,,,,,,,,,,,,,,,,,,,,
# Units: 1990$/tC,,,,,,,,,,,,,,,,,,,,,,
# Comments: link.type needs to correspoond to a link.type in A_Ctax_Link; give different ghgpolicy names for different regions if not linked; market.overwrite writes the region name to the market name,,,,,,,,,,,,,,,,,,,,,,
# Leave tax empty for all but 1 linked regions (same ghgpolicy),,,,,,,,,,,,,,,,,,,,,,
# Column types: cccciinnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,
xml,link.type,market,ghgpolicy,year.fillout,market.overwrite,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
price_nonco2_mac_NDC.xml,,Africa_Eastern,nonCO2,,,0,8.16286,17.2506,20.88688497,25.63845785,31.6931784,39.27348312,48.65266753,60.17097406,74.2278081,91.14253618,111.1649753,134.4805666,161.2609079,192.1636105,227.4097771,267.0744564
price_nonco2_mac_NDC.xml,,Africa_Northern,nonCO2,,,,,,1.198866628,1.40592689,1.628418478,1.874701283,2.163776212,2.504213842,2.884431321,3.285481186,3.705806975,4.155426094,4.632813648,5.113130265,5.621634538,6.179557948
price_nonco2_mac_NDC.xml,,Africa_Southern,nonCO2,,,0,29.6316,68.1116,76.44186454,87.8933691,103.4488245,123.9342251,149.86831,181.9657322,220.9806333,267.954794,323.4827889,388.2655532,462.6149234,547.1780718,642.1990823,748.5376437
price_nonco2_mac_NDC.xml,,Africa_Western,nonCO2,,,0,44.1549,68.0438,83.38360719,102.4549562,126.2111142,155.6575528,191.8615043,235.7390587,287.779159,349.7066971,421.9998843,504.9375829,598.7816856,704.0127323,821.2603076,950.9017251
price_nonco2_mac_NDC.xml,,Argentina,nonCO2,,,4.67437,72.2947,144.243,154.369044,162.6394576,170.6437125,179.4147529,189.089176,199.5613145,216.7746657,234.1604598,251.8852685,270.1192852,290.1165086,310.6445141,333.8136788,360.6487732
price_nonco2_mac_NDC.xml,,Australia_NZ,nonCO2,,,2.51E-05,105.841,216.022,228.9325783,242.3158485,257.1729594,271.7370067,288.0577051,306.3948218,326.8629551,346.241642,366.5901684,390.5657642,417.1971398,446.0562092,479.5763715,516.5520453
price_nonco2_mac_NDC.xml,,Brazil,nonCO2,,,0.00499289,14.995,32.3024,34.9493107,37.66053245,40.55544102,43.42563959,46.36469777,49.45718137,53.70025226,58.33010967,63.74287061,69.94269139,76.10678307,82.80145222,90.08404946,98.30455273
price_nonco2_mac_NDC.xml,,Canada,nonCO2,,,13.9242,160.21,308.591,319.5997539,330.8174614,343.7122323,357.9257317,373.3994303,389.1829484,413.9489748,438.7996127,461.9549981,489.74356,523.2281765,560.9971238,605.1685231,653.9076171
price_nonco2_mac_NDC.xml,,Central America and Caribbean,nonCO2,,,0,58.8763,133.556,151.9957061,172.6472916,196.4620602,223.5309338,254.1796117,288.7682585,328.2378063,372.3145961,421.5043206,476.6715421,538.6124997,605.6544211,678.3132304,759.4632549
price_nonco2_mac_NDC.xml,,Central Asia,nonCO2,,,0,61.134,90.6708,105.8384029,120.9874542,134.1863773,146.0801905,158.5070006,173.9082861,192.8800087,213.589491,233.9587391,255.6011535,279.5449697,303.7687649,329.1065861,355.5529794
