# File: A_InputTaxesSubsidies.csv,,,,,,,,,,,,,
# Title: Taxes/Subsidies for Specific Technologies,,,,,,,,,,,,,
# Units: 1975$/GJ or 1975$/kg,,,,,,,,,,,,,
# Comments: Positive for tax, negative for subsidy,,,,,,,,,,,,
# Column types: ccccccnnnnnnnn,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,
xml,region,supplysector,subsector,stub.technology,minicam.non.energy.input,2020,2025,2030,2035,2040,2045,2050,2100
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,Middle East traded med-carbon iron and steel_OECD,Middle East traded med-carbon iron and steel_OECD,CBAM,,0.013318005,0.015830704,0.015654362,0.015482897,0.01364964,0.013121445,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,Pakistan traded high-carbon iron and steel_OECD,Pakistan traded high-carbon iron and steel_OECD,CBAM,,0.039670505,0.044851898,0.04354909,0.04245847,0.036845727,0.034803217,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,Pakistan traded low-carbon iron and steel_OECD,Pakistan traded low-carbon iron and steel_OECD,CBAM,,0.003584818,0.004202967,0.004124554,0.004014435,0.003493131,0.003323385,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,Pakistan traded med-carbon iron and steel_OECD,Pakistan traded med-carbon iron and steel_OECD,CBAM,,0.013027536,0.015372002,0.015155788,0.014975498,0.01321023,0.012744059,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,South America_Northern traded high-carbon iron and steel_OECD,South America_Northern traded high-carbon iron and steel_OECD,CBAM,,0.001211827,0.041961494,0.04192609,0.040964599,0.035304946,0.032927011,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,South America_Northern traded low-carbon iron and steel_OECD,South America_Northern traded low-carbon iron and steel_OECD,CBAM,,0.002883331,0.003624361,0.003813668,0.003750184,0.003249324,0.003084907,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,South America_Northern traded med-carbon iron and steel_OECD,South America_Northern traded med-carbon iron and steel_OECD,CBAM,,0.013205982,0.015707236,0.015177643,0.014854378,0.013018697,0.012422564,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,South America_Southern traded high-carbon iron and steel_OECD,South America_Southern traded high-carbon iron and steel_OECD,CBAM,,0.03967486,0.045474944,0.043360701,0.0413717,0.035247015,0.03265503,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,South America_Southern traded low-carbon iron and steel_OECD,South America_Southern traded low-carbon iron and steel_OECD,CBAM,,0.003574608,0.004195819,0.004110845,0.003988908,0.003447206,0.003248252,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,South America_Southern traded med-carbon iron and steel_OECD,South America_Southern traded med-carbon iron and steel_OECD,CBAM,,0.013145426,0.015521829,0.01533389,0.015193241,0.01343182,0.012973184,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,South Asia traded high-carbon iron and steel_OECD,South Asia traded high-carbon iron and steel_OECD,CBAM,,0.03970904,0.044831016,0.043200896,0.041978049,0.036360137,0.034334675,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,South Asia traded low-carbon iron and steel_OECD,South Asia traded low-carbon iron and steel_OECD,CBAM,,0.003557213,0.00419257,0.004123116,0.003998889,0.003476475,0.003317883,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,South Asia traded med-carbon iron and steel_OECD,South Asia traded med-carbon iron and steel_OECD,CBAM,,0.013041692,0.015344056,0.015020267,0.01477168,0.01298008,0.012468375,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,Southeast Asia traded high-carbon iron and steel_OECD,Southeast Asia traded high-carbon iron and steel_OECD,CBAM,,0.039712401,0.045187725,0.042827255,0.040687234,0.034528867,0.031978675,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,Southeast Asia traded low-carbon iron and steel_OECD,Southeast Asia traded low-carbon iron and steel_OECD,CBAM,,0.003564634,0.00418664,0.004096052,0.003959933,0.003402727,0.00318738,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,Southeast Asia traded med-carbon iron and steel_OECD,Southeast Asia traded med-carbon iron and steel_OECD,CBAM,,0.013132127,0.015526133,0.015353789,0.015228806,0.01347692,0.013028539,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Africa_Eastern traded high-carbon iron and steel_OECD,Africa_Eastern traded high-carbon iron and steel_OECD,CBAM,,0.058720117,0.066085274,0.082079427,0.094233377,0.101998565,0.11938386,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Africa_Eastern traded low-carbon iron and steel_OECD,Africa_Eastern traded low-carbon iron and steel_OECD,CBAM,,0.005262487,0.006209441,0.007845996,0.008977758,0.009783169,0.011638093,
