# File: A_Policy_RES_SecOut.csv,,,,,,,,
# Title: Policy targets secondary outputs,,,,,,,,
# Units: NA,,,,,,,,
# Comments: For some RES policies with final energy (currently only for elec sectors) we want to calculate the losses between the energy transformation and the final energy use,,,,,,,,
# In this case leave output.ratio blank and insert a 1 into calculate_elec_losses,,,,,,,,
# Column types: cccccniii,,,,,,,,
# ----------,,,,,,,,
region,supplysector,subsector,stub.technology,res.secondary.output,output.ratio ,start.year,end.year,calculate_elec_losses
EU-15,electricity,wind,wind_storage,FE_RES,,2020,2100,1
EU-15,electricity,solar,PV,FE_RES,,2020,2100,1
EU-15,electricity,solar,PV_storage,FE_RES,,2020,2100,1
EU-15,elec_geothermal,geothermal,geothermal (recirculating),FE_RES,,2020,2100,1
EU-15,elec_geothermal,geothermal,geothermal (dry_hybrid),FE_RES,,2020,2100,1
EU-15,elec_CSP,CSP,CSP (recirculating),FE_RES,,2020,2100,1
EU-15,elec_CSP,CSP,CSP (dry_hybrid),FE_RES,,2020,2100,1
EU-15,elec_CSP_storage,CSP_storage,CSP_storage (recirculating),FE_RES,,2020,2100,1
EU-15,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid),FE_RES,,2020,2100,1
EU-15,elec_biomass (conv),biomass (conv),biomass (conv) (once through),FE_RES,,2020,2100,1
EU-15,elec_biomass (conv),biomass (conv),biomass (conv) (seawater),FE_RES,,2020,2100,1
EU-15,elec_biomass (conv),biomass (conv),biomass (conv) (recirculating),FE_RES,,2020,2100,1
EU-15,elec_biomass (conv),biomass (conv),biomass (conv) (cooling pond),FE_RES,,2020,2100,1
EU-15,elec_biomass (conv),biomass (conv),biomass (conv) (dry cooling),FE_RES,,2020,2100,1
EU-15,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (once through),FE_RES,,2020,2100,1
EU-15,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (seawater),FE_RES,,2020,2100,1
EU-15,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (recirculating),FE_RES,,2020,2100,1
EU-15,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (dry cooling),FE_RES,,2020,2100,1
EU-15,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (once through),FE_RES,,2020,2100,1
EU-15,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (seawater),FE_RES,,2020,2100,1
EU-15,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (recirculating),FE_RES,,2020,2100,1
EU-15,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (dry cooling),FE_RES,,2020,2100,1
EU-15,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),FE_RES,,2020,2100,1
EU-15,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (seawater),FE_RES,,2020,2100,1
EU-15,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (recirculating),FE_RES,,2020,2100,1
EU-15,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),FE_RES,,2020,2100,1
EU-15,H2 central production,biomass,biomass to H2,FE_RES,1,2020,2100,
EU-15,H2 central production,biomass,biomass to H2 CCS,FE_RES,1,2020,2100,
EU-15,H2 central production,wind,electrolysis,FE_RES,1,2020,2100,
EU-15,H2 central production,solar,electrolysis,FE_RES,1,2020,2100,
EU-15,refining,biomass liquids,cellulosic ethanol,FE_RES,1,2020,2100,
EU-15,refining,biomass liquids,cellulosic ethanol CCS level 1,FE_RES,1,2020,2100,
EU-15,refining,biomass liquids,cellulosic ethanol CCS level 2,FE_RES,1,2020,2100,
EU-15,refining,biomass liquids,FT biofuels,FE_RES,1,2020,2100,
EU-15,refining,biomass liquids,FT biofuels CCS level 1,FE_RES,1,2020,2100,
EU-15,refining,biomass liquids,FT biofuels CCS level 2,FE_RES,1,2020,2100,
EU-15,refining,biomass liquids,corn ethanol,FE_RES,1,2020,2100,
EU-15,refining,biomass liquids,biodiesel,FE_RES,1,2020,2100,
EU-15,refining,biomass liquids,BTL with hydrogen,FE_RES,1,2020,2100,
EU-15,refining,biomass liquids,sugar cane ethanol,FE_RES,1,2020,2100,
EU-15,gas processing,biomass gasification,biomass gasification,FE_RES,1,2020,2100,
Russia,resid cooling,electricity,electricity,elec_resid,1,2020,2100,
Russia,resid heating,electricity,electricity,elec_resid,1,2020,2100,
Russia,resid others,electricity,electricity,elec_resid,1,2020,2100,
Argentina,elect_td_bld,rooftop_pv,rooftop_pv,RES-target,1,2020,2100,
Argentina,electricity,hydro,hydro,RES-target,,2020,2100,1
Argentina,electricity,wind,wind,RES-target,,2020,2100,1
Argentina,electricity,wind,wind_offshore,RES-target,,2020,2100,1
Argentina,electricity,wind,wind_storage,RES-target,,2020,2100,1
Argentina,electricity,solar,PV,RES-target,,2020,2100,1
Argentina,electricity,solar,PV_storage,RES-target,,2020,2100,1
Argentina,elec_geothermal,geothermal,geothermal (recirculating),RES-target,,2020,2100,1
Argentina,elec_geothermal,geothermal,geothermal (dry_hybrid),RES-target,,2020,2100,1
Argentina,elec_CSP,CSP,CSP (recirculating),RES-target,,2020,2100,1
Argentina,elec_CSP,CSP,CSP (dry_hybrid),RES-target,,2020,2100,1
Argentina,elec_CSP_storage,CSP_storage,CSP_storage (recirculating),RES-target,,2020,2100,1
Argentina,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid),RES-target,,2020,2100,1
Argentina,elec_biomass (conv),biomass (conv),biomass (conv) (once through),RES-target,,2020,2100,1
Argentina,elec_biomass (conv),biomass (conv),biomass (conv) (seawater),RES-target,,2020,2100,1
Argentina,elec_biomass (conv),biomass (conv),biomass (conv) (recirculating),RES-target,,2020,2100,1
Argentina,elec_biomass (conv),biomass (conv),biomass (conv) (cooling pond),RES-target,,2020,2100,1
Argentina,elec_biomass (conv),biomass (conv),biomass (conv) (dry cooling),RES-target,,2020,2100,1
Argentina,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (once through),RES-target,,2020,2100,1
Argentina,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (seawater),RES-target,,2020,2100,1
Argentina,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (recirculating),RES-target,,2020,2100,1
Argentina,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (dry cooling),RES-target,,2020,2100,1
Argentina,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (once through),RES-target,,2020,2100,1
Argentina,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (seawater),RES-target,,2020,2100,1
Argentina,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (recirculating),RES-target,,2020,2100,1
Argentina,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (dry cooling),RES-target,,2020,2100,1
Argentina,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),RES-target,,2020,2100,1
Argentina,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (seawater),RES-target,,2020,2100,1
Argentina,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (recirculating),RES-target,,2020,2100,1
Argentina,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),RES-target,,2020,2100,1
China,regional natural gas,domestic natural gas,domestic natural gas,TPES_GAS,1,2020,2100,
China,regional natural gas,imported natural gas,imported natural gas,TPES_GAS,1,2020,2100,
EU-12,trn_pass_road_LDV_4W,Car,BEV,fuel_standard,3.70E-07,2025,2025,
EU-12,trn_pass_road_LDV_4W,Car,FCEV,fuel_standard,5.40E-07,2025,2025,
EU-12,trn_pass_road_LDV_4W,Car,Hybrid Liquids,fuel_standard,9.36E-07,2025,2025,
EU-12,trn_pass_road_LDV_4W,Car,Liquids,fuel_standard,1.19E-06,2025,2025,
EU-12,trn_pass_road_LDV_4W,Car,NG,fuel_standard,1.21E-06,2025,2025,
