# File: EURef2020_elec_params.csv
# Title: Technology cost assumptions by year from EU Reference Scenario 2020
# Units: 2015 Euros or specified
# Source: https://energy.ec.europa.eu/data-and-analysis/energy-modelling/eu-reference-scenario-2020_en
# Users can specify how technologies are mapped to GCAM technologies in energy/mappings/EURef2020_elec_gcam_mapping.csv.
# Column types: cccnnnn
# ----------
tech_type,variable,Units,2020,2030,2040,2050
Fuel cell gas (large scale),"Fixed Operation and Maintenance costs, annually",EUR/kW,66.70074265483075,46.357016145107366,43.07236286163537,40.02044559289844
Fuel cell gas (large scale),Variable non fuel cost,EUR/kW,1.041961338991042,1.041961338991042,1.041961338991042,1.041961338991042
Fuel cell gas (large scale),"Electrical Efficiency (net) 
in optimal load operation",ratio,0.6816451197056198,0.6828447752046699,0.6840465420271562,0.6852504238888841
Fuel cell gas (large scale),Technical lifetime,Years,20,20,20,20
Fuel cell gas (small scale),"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,3500,3090.467743007158,2871.4908574423575,2668.0297061932297
Fuel cell gas (small scale),"Fixed Operation and Maintenance costs, annually",EUR/kW,66.70074265483075,46.357016145107366,43.07236286163537,40.02044559289844
Fuel cell gas (small scale),Variable non fuel cost,EUR/kW,1.041961338991042,1.041961338991042,1.041961338991042,1.041961338991042
Fuel cell gas (small scale),"Electrical Efficiency (net) 
in optimal load operation",ratio,0.6816451197056198,0.6828447752046699,0.6840465420271562,0.6852504238888841
Fuel cell gas (small scale),Technical lifetime,Years,20,20,20,20
"Wind onshore - low resource area, high hub height","Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1200,1175,1150,1100
"Wind onshore - low resource area, high hub height","Fixed Operation and Maintenance costs, annually",EUR/kW,13,13,12,12
"Wind onshore - low resource area, high hub height",Variable non fuel cost,EUR/kW,0.15,0.15,0.15,0.15
"Wind onshore - low resource area, high hub height","Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
"Wind onshore - low resource area, high hub height",Technical lifetime,Years,30,30,30,30
"Wind onshore - medium resource area, medium height","Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1050,1000,950,925
"Wind onshore - medium resource area, medium height","Fixed Operation and Maintenance costs, annually",EUR/kW,14,14,12,12
"Wind onshore - medium resource area, medium height",Variable non fuel cost,EUR/kW,0.18,0.18,0.18,0.18
"Wind onshore - medium resource area, medium height","Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
"Wind onshore - medium resource area, medium height",Technical lifetime,Years,30,30,30,30
"Wind onshore - high resource area, medium height","Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1000,950,900,880
"Wind onshore - high resource area, medium height","Fixed Operation and Maintenance costs, annually",EUR/kW,22,21,20,20
"Wind onshore - high resource area, medium height",Variable non fuel cost,EUR/kW,0.25,0.25,0.25,0.25
"Wind onshore - high resource area, medium height","Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
"Wind onshore - high resource area, medium height",Technical lifetime,Years,30,30,30,30
"Wind onshore - very high resource area, low hub height","Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,940,880,845,825
"Wind onshore - very high resource area, low hub height","Fixed Operation and Maintenance costs, annually",EUR/kW,18,18,16,16
"Wind onshore - very high resource area, low hub height",Variable non fuel cost,EUR/kW,0.23,0.23,0.23,0.23
"Wind onshore - very high resource area, low hub height","Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
"Wind onshore - very high resource area, low hub height",Technical lifetime,Years,30,30,30,30
"Wind-offshore - shallow waters, near-shore, low resource area","Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1792.180633688424,1650.346035752734,1577.4474769598644,1503.0749999999998
